id,"machine_name","datetime",isrunning
46,"3x2 brick mould","2018-01-01 03:25:00",0
47,"3x2 brick mould","2018-01-01 03:30:00",1
48,"2x2 brick mould","2018-01-01 03:45:00",0
49,"4x2 brick mould","2018-01-01 03:50:00",0
50,"2x2 brick mould","2018-01-01 03:50:00",1
51,"3x2 brick mould","2018-01-01 03:50:00",0
52,"4x2 brick mould","2018-01-01 03:55:00",1
53,"2x2 brick mould","2018-01-01 03:55:00",0
54,"2x2 brick mould","2018-01-01 04:00:00",1
55,"3x2 brick mould","2018-01-01 04:00:00",1
56,"4x2 brick mould","2018-01-01 04:10:00",0
57,"3x2 brick mould","2018-01-01 04:10:00",0
58,"4x2 brick mould","2018-01-01 04:15:00",1
59,"3x2 brick mould","2018-01-01 04:15:00",1
60,"4x2 brick mould","2018-01-01 04:25:00",0
61,"4x2 brick mould","2018-01-01 04:30:00",1
62,"2x2 brick mould","2018-01-01 04:30:00",0
63,"2x2 brick mould","2018-01-01 04:35:00",1
64,"2x2 brick mould","2018-01-01 04:40:00",0
65,"3x2 brick mould","2018-01-01 04:40:00",0
66,"4x2 brick mould","2018-01-01 04:45:00",0
67,"2x2 brick mould","2018-01-01 04:45:00",1
68,"3x2 brick mould","2018-01-01 04:45:00",1
69,"4x2 brick mould","2018-01-01 04:50:00",1
70,"2x2 brick mould","2018-01-01 04:50:00",0
71,"3x2 brick mould","2018-01-01 04:50:00",0
72,"2x2 brick mould","2018-01-01 05:00:00",1
73,"3x2 brick mould","2018-01-01 05:00:00",1
74,"3x2 brick mould","2018-01-01 05:05:00",0
75,"2x2 brick mould","2018-01-01 05:10:00",0
76,"3x2 brick mould","2018-01-01 05:10:00",1
77,"2x2 brick mould","2018-01-01 05:15:00",1
78,"4x2 brick mould","2018-01-01 05:25:00",0
79,"2x2 brick mould","2018-01-01 05:25:00",0
80,"2x2 brick mould","2018-01-01 05:30:00",1
81,"4x2 brick mould","2018-01-01 05:35:00",1
82,"2x2 brick mould","2018-01-01 05:40:00",0
83,"3x2 brick mould","2018-01-01 05:40:00",0
84,"3x2 brick mould","2018-01-01 05:45:00",1
85,"2x2 brick mould","2018-01-01 05:50:00",1
86,"3x2 brick mould","2018-01-01 05:50:00",0
87,"3x2 brick mould","2018-01-01 05:55:00",1
88,"4x2 brick mould","2018-01-01 06:00:00",0
89,"4x2 brick mould","2018-01-01 06:05:00",1
90,"2x2 brick mould","2018-01-01 06:05:00",0
91,"3x2 brick mould","2018-01-01 06:05:00",0
92,"4x2 brick mould","2018-01-01 06:10:00",0
93,"2x2 brick mould","2018-01-01 06:15:00",1
94,"3x2 brick mould","2018-01-01 06:15:00",1
95,"4x2 brick mould","2018-01-01 06:20:00",1
96,"3x2 brick mould","2018-01-01 06:20:00",0
97,"4x2 brick mould","2018-01-01 06:25:00",0
98,"2x2 brick mould","2018-01-01 06:25:00",0
99,"3x2 brick mould","2018-01-01 06:25:00",1
100,"4x2 brick mould","2018-01-01 06:30:00",1
101,"2x2 brick mould","2018-01-01 06:30:00",1
102,"4x2 brick mould","2018-01-01 06:55:00",0
103,"4x2 brick mould","2018-01-01 07:00:00",1
104,"2x2 brick mould","2018-01-01 07:30:00",0
105,"3x2 brick mould","2018-01-01 07:30:00",0
106,"4x2 brick mould","2018-01-01 07:35:00",0
107,"2x2 brick mould","2018-01-01 07:35:00",1
108,"3x2 brick mould","2018-01-01 07:35:00",1
109,"4x2 brick mould","2018-01-01 07:40:00",1
110,"3x2 brick mould","2018-01-01 07:40:00",0
111,"4x2 brick mould","2018-01-01 07:45:00",0
112,"4x2 brick mould","2018-01-01 07:50:00",1
113,"3x2 brick mould","2018-01-01 07:50:00",1
114,"2x2 brick mould","2018-01-01 08:00:00",0
115,"3x2 brick mould","2018-01-01 08:00:00",0
116,"2x2 brick mould","2018-01-01 08:05:00",1
117,"3x2 brick mould","2018-01-01 08:05:00",1
118,"2x2 brick mould","2018-01-01 08:15:00",0
119,"2x2 brick mould","2018-01-01 08:25:00",1
120,"3x2 brick mould","2018-01-01 08:35:00",0
121,"4x2 brick mould","2018-01-01 08:45:00",0
122,"3x2 brick mould","2018-01-01 08:45:00",1
123,"4x2 brick mould","2018-01-01 08:55:00",1
124,"4x2 brick mould","2018-01-01 09:05:00",0
125,"2x2 brick mould","2018-01-01 09:05:00",0
126,"3x2 brick mould","2018-01-01 09:05:00",0
127,"4x2 brick mould","2018-01-01 09:10:00",1
128,"3x2 brick mould","2018-01-01 09:10:00",1
129,"2x2 brick mould","2018-01-01 09:15:00",1
130,"2x2 brick mould","2018-01-01 09:20:00",0
131,"2x2 brick mould","2018-01-01 09:30:00",1
132,"3x2 brick mould","2018-01-01 09:30:00",0
133,"3x2 brick mould","2018-01-01 09:35:00",1
134,"2x2 brick mould","2018-01-01 09:45:00",0
135,"4x2 brick mould","2018-01-01 09:50:00",0
136,"2x2 brick mould","2018-01-01 09:50:00",1
137,"3x2 brick mould","2018-01-01 09:50:00",0
138,"4x2 brick mould","2018-01-01 09:55:00",1
139,"3x2 brick mould","2018-01-01 09:55:00",1
140,"3x2 brick mould","2018-01-01 10:15:00",0
141,"3x2 brick mould","2018-01-01 10:20:00",1
142,"3x2 brick mould","2018-01-01 10:25:00",0
143,"3x2 brick mould","2018-01-01 10:30:00",1
144,"2x2 brick mould","2018-01-01 10:35:00",0
145,"4x2 brick mould","2018-01-01 10:50:00",0
146,"2x2 brick mould","2018-01-01 10:50:00",1
147,"4x2 brick mould","2018-01-01 10:55:00",1
148,"3x2 brick mould","2018-01-01 11:10:00",0
149,"4x2 brick mould","2018-01-01 11:15:00",0
150,"3x2 brick mould","2018-01-01 11:15:00",1
151,"2x2 brick mould","2018-01-01 11:20:00",0
152,"4x2 brick mould","2018-01-01 11:30:00",1
153,"2x2 brick mould","2018-01-01 11:30:00",1
154,"3x2 brick mould","2018-01-01 11:35:00",0
155,"4x2 brick mould","2018-01-01 11:45:00",0
156,"3x2 brick mould","2018-01-01 11:45:00",1
157,"4x2 brick mould","2018-01-01 11:55:00",1
158,"2x2 brick mould","2018-01-01 12:00:00",0
159,"4x2 brick mould","2018-01-01 12:10:00",0
160,"4x2 brick mould","2018-01-01 12:15:00",1
161,"2x2 brick mould","2018-01-01 12:15:00",1
162,"2x2 brick mould","2018-01-01 12:20:00",0
163,"2x2 brick mould","2018-01-01 12:25:00",1
164,"4x2 brick mould","2018-01-01 13:00:00",0
165,"3x2 brick mould","2018-01-01 13:00:00",0
166,"3x2 brick mould","2018-01-01 13:05:00",1
167,"4x2 brick mould","2018-01-01 13:15:00",1
168,"4x2 brick mould","2018-01-01 13:45:00",0
169,"3x2 brick mould","2018-01-01 13:50:00",0
170,"2x2 brick mould","2018-01-01 13:55:00",0
171,"3x2 brick mould","2018-01-01 13:55:00",1
172,"4x2 brick mould","2018-01-01 14:00:00",1
173,"3x2 brick mould","2018-01-01 14:00:00",0
174,"2x2 brick mould","2018-01-01 14:05:00",1
175,"3x2 brick mould","2018-01-01 14:05:00",1
176,"4x2 brick mould","2018-01-01 14:10:00",0
177,"4x2 brick mould","2018-01-01 14:15:00",1
178,"4x2 brick mould","2018-01-01 14:20:00",0
179,"4x2 brick mould","2018-01-01 14:25:00",1
180,"4x2 brick mould","2018-01-01 14:30:00",0
181,"4x2 brick mould","2018-01-01 14:35:00",1
182,"3x2 brick mould","2018-01-01 14:35:00",0
183,"4x2 brick mould","2018-01-01 14:40:00",0
184,"3x2 brick mould","2018-01-01 14:40:00",1
185,"4x2 brick mould","2018-01-01 14:45:00",1
186,"2x2 brick mould","2018-01-01 14:50:00",0
187,"2x2 brick mould","2018-01-01 14:55:00",1
188,"4x2 brick mould","2018-01-01 15:00:00",0
189,"4x2 brick mould","2018-01-01 15:05:00",1
190,"2x2 brick mould","2018-01-01 15:15:00",0
191,"2x2 brick mould","2018-01-01 15:20:00",1
192,"4x2 brick mould","2018-01-01 15:25:00",0
193,"2x2 brick mould","2018-01-01 15:25:00",0
194,"4x2 brick mould","2018-01-01 15:30:00",1
195,"2x2 brick mould","2018-01-01 15:30:00",1
196,"3x2 brick mould","2018-01-01 15:30:00",0
197,"3x2 brick mould","2018-01-01 15:35:00",1
198,"2x2 brick mould","2018-01-01 15:45:00",0
199,"2x2 brick mould","2018-01-01 15:50:00",1
200,"3x2 brick mould","2018-01-01 15:50:00",0
201,"4x2 brick mould","2018-01-01 15:55:00",0
202,"2x2 brick mould","2018-01-01 15:55:00",0
203,"3x2 brick mould","2018-01-01 15:55:00",1
204,"2x2 brick mould","2018-01-01 16:00:00",1
205,"2x2 brick mould","2018-01-01 16:10:00",0
206,"3x2 brick mould","2018-01-01 16:10:00",0
207,"4x2 brick mould","2018-01-01 16:15:00",1
208,"2x2 brick mould","2018-01-01 16:15:00",1
209,"3x2 brick mould","2018-01-01 16:20:00",1
210,"2x2 brick mould","2018-01-01 16:30:00",0
211,"2x2 brick mould","2018-01-01 16:35:00",1
212,"3x2 brick mould","2018-01-01 16:35:00",0
213,"2x2 brick mould","2018-01-01 16:40:00",0
214,"3x2 brick mould","2018-01-01 16:40:00",1
215,"2x2 brick mould","2018-01-01 16:45:00",1
216,"4x2 brick mould","2018-01-01 16:50:00",0
217,"3x2 brick mould","2018-01-01 16:50:00",0
218,"2x2 brick mould","2018-01-01 16:55:00",0
219,"3x2 brick mould","2018-01-01 16:55:00",1
220,"2x2 brick mould","2018-01-01 17:00:00",1
221,"4x2 brick mould","2018-01-01 17:05:00",1
222,"2x2 brick mould","2018-01-01 17:05:00",0
223,"3x2 brick mould","2018-01-01 17:05:00",0
224,"3x2 brick mould","2018-01-01 17:10:00",1
225,"4x2 brick mould","2018-01-01 17:15:00",0
226,"2x2 brick mould","2018-01-01 17:15:00",1
227,"4x2 brick mould","2018-01-01 17:25:00",1
228,"2x2 brick mould","2018-01-01 17:25:00",0
229,"4x2 brick mould","2018-01-01 17:30:00",0
230,"3x2 brick mould","2018-01-01 17:30:00",0
231,"4x2 brick mould","2018-01-01 17:35:00",1
232,"2x2 brick mould","2018-01-01 17:35:00",1
233,"3x2 brick mould","2018-01-01 17:35:00",1
234,"4x2 brick mould","2018-01-01 17:50:00",0
235,"2x2 brick mould","2018-01-01 17:50:00",0
236,"4x2 brick mould","2018-01-01 18:05:00",1
237,"2x2 brick mould","2018-01-01 18:05:00",1
238,"2x2 brick mould","2018-01-01 18:20:00",0
239,"4x2 brick mould","2018-01-01 18:25:00",0
240,"2x2 brick mould","2018-01-01 18:30:00",1
241,"4x2 brick mould","2018-01-01 18:35:00",1
242,"3x2 brick mould","2018-01-01 18:35:00",0
243,"3x2 brick mould","2018-01-01 18:40:00",1
244,"2x2 brick mould","2018-01-01 18:55:00",0
245,"3x2 brick mould","2018-01-01 18:55:00",0
246,"2x2 brick mould","2018-01-01 19:00:00",1
247,"2x2 brick mould","2018-01-01 19:05:00",0
248,"3x2 brick mould","2018-01-01 19:10:00",1
249,"4x2 brick mould","2018-01-01 19:15:00",0
250,"2x2 brick mould","2018-01-01 19:15:00",1
251,"4x2 brick mould","2018-01-01 19:20:00",1
252,"4x2 brick mould","2018-01-01 19:30:00",0
253,"4x2 brick mould","2018-01-01 19:35:00",1
254,"2x2 brick mould","2018-01-01 19:35:00",0
255,"2x2 brick mould","2018-01-01 19:40:00",1
256,"2x2 brick mould","2018-01-01 19:50:00",0
257,"2x2 brick mould","2018-01-01 19:55:00",1
258,"3x2 brick mould","2018-01-01 19:55:00",0
259,"3x2 brick mould","2018-01-01 20:10:00",1
260,"4x2 brick mould","2018-01-01 20:15:00",0
261,"4x2 brick mould","2018-01-01 20:20:00",1
262,"2x2 brick mould","2018-01-01 20:25:00",0
263,"3x2 brick mould","2018-01-01 20:25:00",0
264,"3x2 brick mould","2018-01-01 20:30:00",1
265,"2x2 brick mould","2018-01-01 20:35:00",1
266,"3x2 brick mould","2018-01-01 20:35:00",0
267,"3x2 brick mould","2018-01-01 20:45:00",1
268,"4x2 brick mould","2018-01-01 20:50:00",0
269,"4x2 brick mould","2018-01-01 20:55:00",1
270,"2x2 brick mould","2018-01-01 20:55:00",0
271,"2x2 brick mould","2018-01-01 21:00:00",1
272,"3x2 brick mould","2018-01-01 21:05:00",0
273,"2x2 brick mould","2018-01-01 21:15:00",0
274,"3x2 brick mould","2018-01-01 21:15:00",1
275,"4x2 brick mould","2018-01-01 21:20:00",0
276,"2x2 brick mould","2018-01-01 21:20:00",1
277,"3x2 brick mould","2018-01-01 21:25:00",0
278,"2x2 brick mould","2018-01-01 21:30:00",0
279,"3x2 brick mould","2018-01-01 21:30:00",1
280,"2x2 brick mould","2018-01-01 21:35:00",1
281,"4x2 brick mould","2018-01-01 21:40:00",1
282,"2x2 brick mould","2018-01-01 21:45:00",0
283,"2x2 brick mould","2018-01-01 22:00:00",1
284,"4x2 brick mould","2018-01-01 22:05:00",0
285,"2x2 brick mould","2018-01-01 22:05:00",0
286,"3x2 brick mould","2018-01-01 22:05:00",0
287,"2x2 brick mould","2018-01-01 22:10:00",1
288,"3x2 brick mould","2018-01-01 22:10:00",1
289,"4x2 brick mould","2018-01-01 22:15:00",1
290,"4x2 brick mould","2018-01-01 22:30:00",0
291,"3x2 brick mould","2018-01-01 22:30:00",0
292,"4x2 brick mould","2018-01-01 22:35:00",1
293,"3x2 brick mould","2018-01-01 22:35:00",1
294,"3x2 brick mould","2018-01-01 22:55:00",0
295,"3x2 brick mould","2018-01-01 23:00:00",1
296,"2x2 brick mould","2018-01-01 23:05:00",0
297,"2x2 brick mould","2018-01-01 23:10:00",1
298,"3x2 brick mould","2018-01-01 23:15:00",0
299,"3x2 brick mould","2018-01-01 23:25:00",1
300,"3x2 brick mould","2018-01-01 23:35:00",0
301,"4x2 brick mould","2018-01-01 23:40:00",0
302,"3x2 brick mould","2018-01-01 23:40:00",1
303,"4x2 brick mould","2018-01-01 23:50:00",1
304,"3x2 brick mould","2018-01-02 00:00:00",0
305,"4x2 brick mould","2018-01-02 00:15:00",0
306,"3x2 brick mould","2018-01-02 00:15:00",1
307,"4x2 brick mould","2018-01-02 00:20:00",1
308,"4x2 brick mould","2018-01-02 00:30:00",0
309,"3x2 brick mould","2018-01-02 00:30:00",0
310,"3x2 brick mould","2018-01-02 00:35:00",1
311,"4x2 brick mould","2018-01-02 00:45:00",1
312,"4x2 brick mould","2018-01-02 00:55:00",0
313,"3x2 brick mould","2018-01-02 00:55:00",0
314,"4x2 brick mould","2018-01-02 01:00:00",1
315,"2x2 brick mould","2018-01-02 01:00:00",0
316,"3x2 brick mould","2018-01-02 01:00:00",1
317,"4x2 brick mould","2018-01-02 01:05:00",0
318,"2x2 brick mould","2018-01-02 01:05:00",1
319,"4x2 brick mould","2018-01-02 01:10:00",1
320,"3x2 brick mould","2018-01-02 01:10:00",0
321,"3x2 brick mould","2018-01-02 01:15:00",1
322,"2x2 brick mould","2018-01-02 01:30:00",0
323,"4x2 brick mould","2018-01-02 01:35:00",0
324,"4x2 brick mould","2018-01-02 01:40:00",1
325,"2x2 brick mould","2018-01-02 01:40:00",1
326,"3x2 brick mould","2018-01-02 01:45:00",0
327,"2x2 brick mould","2018-01-02 01:50:00",0
328,"3x2 brick mould","2018-01-02 01:50:00",1
329,"2x2 brick mould","2018-01-02 01:55:00",1
330,"4x2 brick mould","2018-01-02 02:00:00",0
331,"3x2 brick mould","2018-01-02 02:00:00",0
332,"4x2 brick mould","2018-01-02 02:05:00",1
333,"3x2 brick mould","2018-01-02 02:10:00",1
334,"3x2 brick mould","2018-01-02 02:35:00",0
335,"3x2 brick mould","2018-01-02 02:40:00",1
336,"4x2 brick mould","2018-01-02 03:00:00",0
337,"2x2 brick mould","2018-01-02 03:00:00",0
338,"4x2 brick mould","2018-01-02 03:05:00",1
339,"2x2 brick mould","2018-01-02 03:15:00",1
340,"2x2 brick mould","2018-01-02 03:20:00",0
341,"2x2 brick mould","2018-01-02 03:25:00",1
342,"2x2 brick mould","2018-01-02 03:30:00",0
343,"2x2 brick mould","2018-01-02 03:35:00",1
344,"4x2 brick mould","2018-01-02 03:40:00",0
345,"2x2 brick mould","2018-01-02 03:40:00",0
346,"2x2 brick mould","2018-01-02 03:45:00",1
347,"4x2 brick mould","2018-01-02 03:55:00",1
348,"4x2 brick mould","2018-01-02 04:05:00",0
349,"2x2 brick mould","2018-01-02 04:05:00",0
350,"4x2 brick mould","2018-01-02 04:10:00",1
351,"2x2 brick mould","2018-01-02 04:10:00",1
352,"2x2 brick mould","2018-01-02 04:15:00",0
353,"2x2 brick mould","2018-01-02 04:20:00",1
354,"3x2 brick mould","2018-01-02 04:20:00",0
355,"3x2 brick mould","2018-01-02 04:25:00",1
356,"4x2 brick mould","2018-01-02 04:30:00",0
357,"2x2 brick mould","2018-01-02 04:30:00",0
358,"2x2 brick mould","2018-01-02 04:35:00",1
359,"4x2 brick mould","2018-01-02 04:40:00",1
360,"2x2 brick mould","2018-01-02 04:40:00",0
361,"2x2 brick mould","2018-01-02 04:45:00",1
362,"3x2 brick mould","2018-01-02 04:45:00",0
363,"3x2 brick mould","2018-01-02 04:50:00",1
364,"3x2 brick mould","2018-01-02 04:55:00",0
365,"4x2 brick mould","2018-01-02 05:00:00",0
366,"3x2 brick mould","2018-01-02 05:00:00",1
367,"4x2 brick mould","2018-01-02 05:05:00",1
368,"3x2 brick mould","2018-01-02 05:05:00",0
369,"2x2 brick mould","2018-01-02 05:10:00",0
370,"2x2 brick mould","2018-01-02 05:15:00",1
371,"3x2 brick mould","2018-01-02 05:20:00",1
372,"4x2 brick mould","2018-01-02 05:25:00",0
373,"4x2 brick mould","2018-01-02 05:30:00",1
374,"3x2 brick mould","2018-01-02 05:40:00",0
375,"4x2 brick mould","2018-01-02 05:45:00",0
376,"4x2 brick mould","2018-01-02 05:50:00",1
377,"2x2 brick mould","2018-01-02 05:55:00",0
378,"3x2 brick mould","2018-01-02 05:55:00",1
379,"4x2 brick mould","2018-01-02 06:00:00",0
380,"2x2 brick mould","2018-01-02 06:00:00",1
381,"4x2 brick mould","2018-01-02 06:05:00",1
382,"4x2 brick mould","2018-01-02 06:15:00",0
383,"2x2 brick mould","2018-01-02 06:15:00",0
384,"2x2 brick mould","2018-01-02 06:20:00",1
385,"4x2 brick mould","2018-01-02 06:25:00",1
386,"4x2 brick mould","2018-01-02 06:30:00",0
387,"4x2 brick mould","2018-01-02 06:35:00",1
388,"3x2 brick mould","2018-01-02 06:35:00",0
389,"3x2 brick mould","2018-01-02 06:40:00",1
390,"2x2 brick mould","2018-01-02 06:45:00",0
391,"3x2 brick mould","2018-01-02 06:50:00",0
392,"4x2 brick mould","2018-01-02 06:55:00",0
393,"3x2 brick mould","2018-01-02 06:55:00",1
394,"4x2 brick mould","2018-01-02 07:00:00",1
395,"2x2 brick mould","2018-01-02 07:00:00",1
396,"2x2 brick mould","2018-01-02 07:20:00",0
397,"3x2 brick mould","2018-01-02 07:20:00",0
398,"4x2 brick mould","2018-01-02 07:25:00",0
399,"2x2 brick mould","2018-01-02 07:25:00",1
400,"3x2 brick mould","2018-01-02 07:25:00",1
401,"4x2 brick mould","2018-01-02 07:30:00",1
402,"4x2 brick mould","2018-01-02 07:35:00",0
403,"3x2 brick mould","2018-01-02 07:35:00",0
404,"4x2 brick mould","2018-01-02 07:40:00",1
405,"2x2 brick mould","2018-01-02 07:40:00",0
406,"3x2 brick mould","2018-01-02 07:40:00",1
407,"2x2 brick mould","2018-01-02 07:45:00",1
408,"3x2 brick mould","2018-01-02 07:50:00",0
409,"3x2 brick mould","2018-01-02 07:55:00",1
410,"4x2 brick mould","2018-01-02 08:00:00",0
411,"4x2 brick mould","2018-01-02 08:05:00",1
412,"2x2 brick mould","2018-01-02 08:50:00",0
413,"3x2 brick mould","2018-01-02 08:50:00",0
414,"2x2 brick mould","2018-01-02 08:55:00",1
415,"3x2 brick mould","2018-01-02 08:55:00",1
416,"2x2 brick mould","2018-01-02 09:05:00",0
417,"2x2 brick mould","2018-01-02 09:10:00",1
418,"2x2 brick mould","2018-01-02 09:25:00",0
419,"3x2 brick mould","2018-01-02 09:35:00",0
420,"2x2 brick mould","2018-01-02 09:40:00",1
421,"4x2 brick mould","2018-01-02 09:45:00",0
422,"3x2 brick mould","2018-01-02 09:45:00",1
423,"4x2 brick mould","2018-01-02 09:50:00",1
424,"4x2 brick mould","2018-01-02 10:00:00",0
425,"3x2 brick mould","2018-01-02 10:00:00",0
426,"4x2 brick mould","2018-01-02 10:05:00",1
427,"2x2 brick mould","2018-01-02 10:15:00",0
428,"3x2 brick mould","2018-01-02 10:15:00",1
429,"2x2 brick mould","2018-01-02 10:20:00",1
430,"4x2 brick mould","2018-01-02 10:25:00",0
431,"2x2 brick mould","2018-01-02 10:35:00",0
432,"4x2 brick mould","2018-01-02 10:40:00",1
433,"2x2 brick mould","2018-01-02 10:40:00",1
434,"2x2 brick mould","2018-01-02 10:50:00",0
435,"3x2 brick mould","2018-01-02 10:50:00",0
436,"3x2 brick mould","2018-01-02 10:55:00",1
437,"2x2 brick mould","2018-01-02 11:05:00",1
438,"3x2 brick mould","2018-01-02 11:10:00",0
439,"3x2 brick mould","2018-01-02 11:15:00",1
440,"2x2 brick mould","2018-01-02 11:30:00",0
441,"4x2 brick mould","2018-01-02 11:35:00",0
442,"4x2 brick mould","2018-01-02 11:40:00",1
443,"2x2 brick mould","2018-01-02 11:40:00",1
444,"3x2 brick mould","2018-01-02 11:45:00",0
445,"4x2 brick mould","2018-01-02 11:55:00",0
446,"3x2 brick mould","2018-01-02 11:55:00",1
447,"4x2 brick mould","2018-01-02 12:05:00",1
448,"2x2 brick mould","2018-01-02 12:15:00",0
449,"2x2 brick mould","2018-01-02 12:20:00",1
450,"4x2 brick mould","2018-01-02 12:25:00",0
451,"2x2 brick mould","2018-01-02 12:25:00",0
452,"4x2 brick mould","2018-01-02 12:30:00",1
453,"2x2 brick mould","2018-01-02 12:30:00",1
454,"3x2 brick mould","2018-01-02 12:45:00",0
455,"2x2 brick mould","2018-01-02 12:55:00",0
456,"3x2 brick mould","2018-01-02 12:55:00",1
457,"2x2 brick mould","2018-01-02 13:00:00",1
458,"2x2 brick mould","2018-01-02 13:10:00",0
459,"3x2 brick mould","2018-01-02 13:10:00",0
460,"4x2 brick mould","2018-01-02 13:15:00",0
461,"2x2 brick mould","2018-01-02 13:15:00",1
462,"4x2 brick mould","2018-01-02 13:20:00",1
463,"3x2 brick mould","2018-01-02 13:20:00",1
464,"4x2 brick mould","2018-01-02 13:25:00",0
465,"3x2 brick mould","2018-01-02 13:30:00",0
466,"3x2 brick mould","2018-01-02 13:45:00",1
467,"4x2 brick mould","2018-01-02 13:50:00",1
468,"2x2 brick mould","2018-01-02 13:50:00",0
469,"2x2 brick mould","2018-01-02 14:00:00",1
470,"4x2 brick mould","2018-01-02 14:10:00",0
471,"4x2 brick mould","2018-01-02 14:15:00",1
472,"4x2 brick mould","2018-01-02 14:40:00",0
473,"4x2 brick mould","2018-01-02 14:45:00",1
474,"4x2 brick mould","2018-01-02 14:55:00",0
475,"4x2 brick mould","2018-01-02 15:00:00",1
476,"2x2 brick mould","2018-01-02 15:00:00",0
477,"2x2 brick mould","2018-01-02 15:05:00",1
478,"2x2 brick mould","2018-01-02 15:15:00",0
479,"3x2 brick mould","2018-01-02 15:20:00",0
480,"4x2 brick mould","2018-01-02 15:25:00",0
481,"2x2 brick mould","2018-01-02 15:25:00",1
482,"3x2 brick mould","2018-01-02 15:25:00",1
483,"4x2 brick mould","2018-01-02 15:30:00",1
484,"3x2 brick mould","2018-01-02 15:30:00",0
485,"3x2 brick mould","2018-01-02 15:35:00",1
486,"2x2 brick mould","2018-01-02 15:45:00",0
487,"2x2 brick mould","2018-01-02 15:50:00",1
488,"3x2 brick mould","2018-01-02 15:50:00",0
489,"2x2 brick mould","2018-01-02 15:55:00",0
490,"3x2 brick mould","2018-01-02 15:55:00",1
491,"2x2 brick mould","2018-01-02 16:05:00",1
492,"4x2 brick mould","2018-01-02 16:15:00",0
493,"4x2 brick mould","2018-01-02 16:20:00",1
494,"4x2 brick mould","2018-01-02 16:25:00",0
495,"3x2 brick mould","2018-01-02 16:30:00",0
496,"4x2 brick mould","2018-01-02 16:35:00",1
497,"2x2 brick mould","2018-01-02 16:35:00",0
498,"3x2 brick mould","2018-01-02 16:35:00",1
499,"2x2 brick mould","2018-01-02 16:40:00",1
500,"3x2 brick mould","2018-01-02 16:40:00",0
501,"2x2 brick mould","2018-01-02 16:45:00",0
502,"3x2 brick mould","2018-01-02 16:45:00",1
503,"2x2 brick mould","2018-01-02 16:50:00",1
504,"4x2 brick mould","2018-01-02 17:10:00",0
505,"3x2 brick mould","2018-01-02 17:10:00",0
506,"3x2 brick mould","2018-01-02 17:15:00",1
507,"4x2 brick mould","2018-01-02 17:25:00",1
508,"3x2 brick mould","2018-01-02 17:35:00",0
509,"2x2 brick mould","2018-01-02 17:40:00",0
510,"2x2 brick mould","2018-01-02 17:45:00",1
511,"3x2 brick mould","2018-01-02 17:50:00",1
512,"4x2 brick mould","2018-01-02 18:20:00",0
513,"3x2 brick mould","2018-01-02 18:20:00",0
514,"4x2 brick mould","2018-01-02 18:25:00",1
515,"4x2 brick mould","2018-01-02 18:30:00",0
516,"3x2 brick mould","2018-01-02 18:30:00",1
517,"4x2 brick mould","2018-01-02 18:35:00",1
