id,"machine_name","variable_name","datetime_from","datetime_to",value
35,"3x2 brick mould","SCRAP","2018-01-01 00:20:00","2018-01-01 00:25:00",46
36,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:20:00","2018-01-01 00:25:00",91
37,"4x2 brick mould","PRODUCTION","2018-01-01 00:25:00","2018-01-01 00:30:00",0
38,"4x2 brick mould","SCRAP","2018-01-01 00:25:00","2018-01-01 00:30:00",0
39,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:25:00","2018-01-01 00:30:00",91
40,"2x2 brick mould","PRODUCTION","2018-01-01 00:25:00","2018-01-01 00:30:00",0
41,"2x2 brick mould","SCRAP","2018-01-01 00:25:00","2018-01-01 00:30:00",0
42,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:25:00","2018-01-01 00:30:00",77
43,"3x2 brick mould","PRODUCTION","2018-01-01 00:25:00","2018-01-01 00:30:00",3146
44,"3x2 brick mould","SCRAP","2018-01-01 00:25:00","2018-01-01 00:30:00",60
45,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:25:00","2018-01-01 00:30:00",79
46,"4x2 brick mould","PRODUCTION","2018-01-01 00:30:00","2018-01-01 00:35:00",3060
47,"4x2 brick mould","SCRAP","2018-01-01 00:30:00","2018-01-01 00:35:00",61
48,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:30:00","2018-01-01 00:35:00",77
49,"2x2 brick mould","PRODUCTION","2018-01-01 00:30:00","2018-01-01 00:35:00",0
50,"2x2 brick mould","SCRAP","2018-01-01 00:30:00","2018-01-01 00:35:00",0
51,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:30:00","2018-01-01 00:35:00",85
52,"3x2 brick mould","PRODUCTION","2018-01-01 00:30:00","2018-01-01 00:35:00",2078
53,"3x2 brick mould","SCRAP","2018-01-01 00:30:00","2018-01-01 00:35:00",76
54,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:30:00","2018-01-01 00:35:00",82
55,"4x2 brick mould","PRODUCTION","2018-01-01 00:35:00","2018-01-01 00:40:00",3129
56,"4x2 brick mould","SCRAP","2018-01-01 00:35:00","2018-01-01 00:40:00",68
57,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:35:00","2018-01-01 00:40:00",82
58,"2x2 brick mould","PRODUCTION","2018-01-01 00:35:00","2018-01-01 00:40:00",2262
59,"2x2 brick mould","SCRAP","2018-01-01 00:35:00","2018-01-01 00:40:00",44
60,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:35:00","2018-01-01 00:40:00",88
61,"3x2 brick mould","PRODUCTION","2018-01-01 00:35:00","2018-01-01 00:40:00",2411
62,"3x2 brick mould","SCRAP","2018-01-01 00:35:00","2018-01-01 00:40:00",116
63,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:35:00","2018-01-01 00:40:00",86
64,"4x2 brick mould","PRODUCTION","2018-01-01 00:40:00","2018-01-01 00:45:00",2302
65,"4x2 brick mould","SCRAP","2018-01-01 00:40:00","2018-01-01 00:45:00",49
66,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:40:00","2018-01-01 00:45:00",79
67,"2x2 brick mould","PRODUCTION","2018-01-01 00:40:00","2018-01-01 00:45:00",2068
68,"2x2 brick mould","SCRAP","2018-01-01 00:40:00","2018-01-01 00:45:00",97
69,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:40:00","2018-01-01 00:45:00",75
70,"3x2 brick mould","PRODUCTION","2018-01-01 00:40:00","2018-01-01 00:45:00",2102
71,"3x2 brick mould","SCRAP","2018-01-01 00:40:00","2018-01-01 00:45:00",102
72,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:40:00","2018-01-01 00:45:00",86
73,"4x2 brick mould","PRODUCTION","2018-01-01 00:45:00","2018-01-01 00:50:00",2146
74,"4x2 brick mould","SCRAP","2018-01-01 00:45:00","2018-01-01 00:50:00",46
75,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:45:00","2018-01-01 00:50:00",84
76,"2x2 brick mould","PRODUCTION","2018-01-01 00:45:00","2018-01-01 00:50:00",2991
77,"2x2 brick mould","SCRAP","2018-01-01 00:45:00","2018-01-01 00:50:00",83
78,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:45:00","2018-01-01 00:50:00",79
79,"3x2 brick mould","PRODUCTION","2018-01-01 00:45:00","2018-01-01 00:50:00",2441
80,"3x2 brick mould","SCRAP","2018-01-01 00:45:00","2018-01-01 00:50:00",132
81,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:45:00","2018-01-01 00:50:00",81
82,"4x2 brick mould","PRODUCTION","2018-01-01 00:50:00","2018-01-01 00:55:00",2259
83,"4x2 brick mould","SCRAP","2018-01-01 00:50:00","2018-01-01 00:55:00",104
84,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:50:00","2018-01-01 00:55:00",84
85,"2x2 brick mould","PRODUCTION","2018-01-01 00:50:00","2018-01-01 00:55:00",2721
86,"2x2 brick mould","SCRAP","2018-01-01 00:50:00","2018-01-01 00:55:00",54
87,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:50:00","2018-01-01 00:55:00",93
88,"3x2 brick mould","PRODUCTION","2018-01-01 00:50:00","2018-01-01 00:55:00",0
89,"3x2 brick mould","SCRAP","2018-01-01 00:50:00","2018-01-01 00:55:00",0
90,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:50:00","2018-01-01 00:55:00",87
91,"4x2 brick mould","PRODUCTION","2018-01-01 00:55:00","2018-01-01 01:00:00",2013
92,"4x2 brick mould","SCRAP","2018-01-01 00:55:00","2018-01-01 01:00:00",61
93,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:55:00","2018-01-01 01:00:00",79
94,"2x2 brick mould","PRODUCTION","2018-01-01 00:55:00","2018-01-01 01:00:00",2001
95,"2x2 brick mould","SCRAP","2018-01-01 00:55:00","2018-01-01 01:00:00",66
96,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:55:00","2018-01-01 01:00:00",79
97,"3x2 brick mould","PRODUCTION","2018-01-01 00:55:00","2018-01-01 01:00:00",2406
98,"3x2 brick mould","SCRAP","2018-01-01 00:55:00","2018-01-01 01:00:00",43
99,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:55:00","2018-01-01 01:00:00",93
100,"4x2 brick mould","PRODUCTION","2018-01-01 01:00:00","2018-01-01 01:05:00",2026
101,"4x2 brick mould","SCRAP","2018-01-01 01:00:00","2018-01-01 01:05:00",108
102,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:00:00","2018-01-01 01:05:00",75
103,"2x2 brick mould","PRODUCTION","2018-01-01 01:00:00","2018-01-01 01:05:00",2841
104,"2x2 brick mould","SCRAP","2018-01-01 01:00:00","2018-01-01 01:05:00",92
105,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:00:00","2018-01-01 01:05:00",87
106,"3x2 brick mould","PRODUCTION","2018-01-01 01:00:00","2018-01-01 01:05:00",2000
107,"3x2 brick mould","SCRAP","2018-01-01 01:00:00","2018-01-01 01:05:00",74
108,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:00:00","2018-01-01 01:05:00",78
109,"4x2 brick mould","PRODUCTION","2018-01-01 01:05:00","2018-01-01 01:10:00",2207
110,"4x2 brick mould","SCRAP","2018-01-01 01:05:00","2018-01-01 01:10:00",112
111,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:05:00","2018-01-01 01:10:00",97
112,"2x2 brick mould","PRODUCTION","2018-01-01 01:05:00","2018-01-01 01:10:00",2122
113,"2x2 brick mould","SCRAP","2018-01-01 01:05:00","2018-01-01 01:10:00",55
114,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:05:00","2018-01-01 01:10:00",79
115,"3x2 brick mould","PRODUCTION","2018-01-01 01:05:00","2018-01-01 01:10:00",2049
116,"3x2 brick mould","SCRAP","2018-01-01 01:05:00","2018-01-01 01:10:00",99
117,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:05:00","2018-01-01 01:10:00",74
118,"4x2 brick mould","PRODUCTION","2018-01-01 01:10:00","2018-01-01 01:15:00",2420
119,"4x2 brick mould","SCRAP","2018-01-01 01:10:00","2018-01-01 01:15:00",96
120,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:10:00","2018-01-01 01:15:00",78
121,"2x2 brick mould","PRODUCTION","2018-01-01 01:10:00","2018-01-01 01:15:00",0
122,"2x2 brick mould","SCRAP","2018-01-01 01:10:00","2018-01-01 01:15:00",0
123,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:10:00","2018-01-01 01:15:00",83
124,"3x2 brick mould","PRODUCTION","2018-01-01 01:10:00","2018-01-01 01:15:00",2897
125,"3x2 brick mould","SCRAP","2018-01-01 01:10:00","2018-01-01 01:15:00",108
126,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:10:00","2018-01-01 01:15:00",77
127,"4x2 brick mould","PRODUCTION","2018-01-01 01:15:00","2018-01-01 01:20:00",2854
128,"4x2 brick mould","SCRAP","2018-01-01 01:15:00","2018-01-01 01:20:00",130
129,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:15:00","2018-01-01 01:20:00",78
130,"2x2 brick mould","PRODUCTION","2018-01-01 01:15:00","2018-01-01 01:20:00",0
131,"2x2 brick mould","SCRAP","2018-01-01 01:15:00","2018-01-01 01:20:00",0
132,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:15:00","2018-01-01 01:20:00",90
133,"3x2 brick mould","PRODUCTION","2018-01-01 01:15:00","2018-01-01 01:20:00",0
134,"3x2 brick mould","SCRAP","2018-01-01 01:15:00","2018-01-01 01:20:00",0
135,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:15:00","2018-01-01 01:20:00",84
136,"4x2 brick mould","PRODUCTION","2018-01-01 01:20:00","2018-01-01 01:25:00",2918
137,"4x2 brick mould","SCRAP","2018-01-01 01:20:00","2018-01-01 01:25:00",92
138,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:20:00","2018-01-01 01:25:00",81
139,"2x2 brick mould","PRODUCTION","2018-01-01 01:20:00","2018-01-01 01:25:00",2681
140,"2x2 brick mould","SCRAP","2018-01-01 01:20:00","2018-01-01 01:25:00",129
141,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:20:00","2018-01-01 01:25:00",88
142,"3x2 brick mould","PRODUCTION","2018-01-01 01:20:00","2018-01-01 01:25:00",2432
143,"3x2 brick mould","SCRAP","2018-01-01 01:20:00","2018-01-01 01:25:00",97
144,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:20:00","2018-01-01 01:25:00",94
145,"4x2 brick mould","PRODUCTION","2018-01-01 01:25:00","2018-01-01 01:30:00",3189
146,"4x2 brick mould","SCRAP","2018-01-01 01:25:00","2018-01-01 01:30:00",59
147,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:25:00","2018-01-01 01:30:00",84
148,"2x2 brick mould","PRODUCTION","2018-01-01 01:25:00","2018-01-01 01:30:00",0
149,"2x2 brick mould","SCRAP","2018-01-01 01:25:00","2018-01-01 01:30:00",0
150,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:25:00","2018-01-01 01:30:00",79
151,"3x2 brick mould","PRODUCTION","2018-01-01 01:25:00","2018-01-01 01:30:00",0
152,"3x2 brick mould","SCRAP","2018-01-01 01:25:00","2018-01-01 01:30:00",0
153,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:25:00","2018-01-01 01:30:00",79
154,"4x2 brick mould","PRODUCTION","2018-01-01 01:30:00","2018-01-01 01:35:00",2698
155,"4x2 brick mould","SCRAP","2018-01-01 01:30:00","2018-01-01 01:35:00",83
156,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:30:00","2018-01-01 01:35:00",89
157,"2x2 brick mould","PRODUCTION","2018-01-01 01:30:00","2018-01-01 01:35:00",3180
158,"2x2 brick mould","SCRAP","2018-01-01 01:30:00","2018-01-01 01:35:00",86
159,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:30:00","2018-01-01 01:35:00",85
160,"3x2 brick mould","PRODUCTION","2018-01-01 01:30:00","2018-01-01 01:35:00",0
161,"3x2 brick mould","SCRAP","2018-01-01 01:30:00","2018-01-01 01:35:00",0
162,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:30:00","2018-01-01 01:35:00",82
163,"4x2 brick mould","PRODUCTION","2018-01-01 01:35:00","2018-01-01 01:40:00",2355
164,"4x2 brick mould","SCRAP","2018-01-01 01:35:00","2018-01-01 01:40:00",111
165,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:35:00","2018-01-01 01:40:00",78
166,"2x2 brick mould","PRODUCTION","2018-01-01 01:35:00","2018-01-01 01:40:00",2268
167,"2x2 brick mould","SCRAP","2018-01-01 01:35:00","2018-01-01 01:40:00",60
168,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:35:00","2018-01-01 01:40:00",79
169,"3x2 brick mould","PRODUCTION","2018-01-01 01:35:00","2018-01-01 01:40:00",2549
170,"3x2 brick mould","SCRAP","2018-01-01 01:35:00","2018-01-01 01:40:00",123
171,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:35:00","2018-01-01 01:40:00",77
172,"4x2 brick mould","PRODUCTION","2018-01-01 01:40:00","2018-01-01 01:45:00",2750
173,"4x2 brick mould","SCRAP","2018-01-01 01:40:00","2018-01-01 01:45:00",114
174,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:40:00","2018-01-01 01:45:00",78
175,"2x2 brick mould","PRODUCTION","2018-01-01 01:40:00","2018-01-01 01:45:00",3029
176,"2x2 brick mould","SCRAP","2018-01-01 01:40:00","2018-01-01 01:45:00",55
177,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:40:00","2018-01-01 01:45:00",78
178,"3x2 brick mould","PRODUCTION","2018-01-01 01:40:00","2018-01-01 01:45:00",3111
179,"3x2 brick mould","SCRAP","2018-01-01 01:40:00","2018-01-01 01:45:00",59
180,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:40:00","2018-01-01 01:45:00",79
181,"4x2 brick mould","PRODUCTION","2018-01-01 01:45:00","2018-01-01 01:50:00",0
182,"4x2 brick mould","SCRAP","2018-01-01 01:45:00","2018-01-01 01:50:00",0
183,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:45:00","2018-01-01 01:50:00",79
184,"2x2 brick mould","PRODUCTION","2018-01-01 01:45:00","2018-01-01 01:50:00",0
185,"2x2 brick mould","SCRAP","2018-01-01 01:45:00","2018-01-01 01:50:00",0
186,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:45:00","2018-01-01 01:50:00",77
187,"3x2 brick mould","PRODUCTION","2018-01-01 01:45:00","2018-01-01 01:50:00",2598
188,"3x2 brick mould","SCRAP","2018-01-01 01:45:00","2018-01-01 01:50:00",77
189,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:45:00","2018-01-01 01:50:00",79
190,"4x2 brick mould","PRODUCTION","2018-01-01 01:50:00","2018-01-01 01:55:00",0
191,"4x2 brick mould","SCRAP","2018-01-01 01:50:00","2018-01-01 01:55:00",0
192,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:50:00","2018-01-01 01:55:00",85
193,"2x2 brick mould","PRODUCTION","2018-01-01 01:50:00","2018-01-01 01:55:00",2810
194,"2x2 brick mould","SCRAP","2018-01-01 01:50:00","2018-01-01 01:55:00",137
195,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:50:00","2018-01-01 01:55:00",97
196,"3x2 brick mould","PRODUCTION","2018-01-01 01:50:00","2018-01-01 01:55:00",3086
197,"3x2 brick mould","SCRAP","2018-01-01 01:50:00","2018-01-01 01:55:00",135
198,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:50:00","2018-01-01 01:55:00",85
199,"4x2 brick mould","PRODUCTION","2018-01-01 01:55:00","2018-01-01 02:00:00",0
200,"4x2 brick mould","SCRAP","2018-01-01 01:55:00","2018-01-01 02:00:00",0
201,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 01:55:00","2018-01-01 02:00:00",84
202,"2x2 brick mould","PRODUCTION","2018-01-01 01:55:00","2018-01-01 02:00:00",2418
203,"2x2 brick mould","SCRAP","2018-01-01 01:55:00","2018-01-01 02:00:00",66
204,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 01:55:00","2018-01-01 02:00:00",77
205,"3x2 brick mould","PRODUCTION","2018-01-01 01:55:00","2018-01-01 02:00:00",2813
206,"3x2 brick mould","SCRAP","2018-01-01 01:55:00","2018-01-01 02:00:00",90
207,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 01:55:00","2018-01-01 02:00:00",79
208,"4x2 brick mould","PRODUCTION","2018-01-01 02:00:00","2018-01-01 02:05:00",2073
209,"4x2 brick mould","SCRAP","2018-01-01 02:00:00","2018-01-01 02:05:00",70
210,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:00:00","2018-01-01 02:05:00",77
211,"2x2 brick mould","PRODUCTION","2018-01-01 02:00:00","2018-01-01 02:05:00",2505
212,"2x2 brick mould","SCRAP","2018-01-01 02:00:00","2018-01-01 02:05:00",88
213,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:00:00","2018-01-01 02:05:00",80
214,"3x2 brick mould","PRODUCTION","2018-01-01 02:00:00","2018-01-01 02:05:00",2040
215,"3x2 brick mould","SCRAP","2018-01-01 02:00:00","2018-01-01 02:05:00",132
216,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:00:00","2018-01-01 02:05:00",78
217,"4x2 brick mould","PRODUCTION","2018-01-01 02:05:00","2018-01-01 02:10:00",2250
218,"4x2 brick mould","SCRAP","2018-01-01 02:05:00","2018-01-01 02:10:00",59
219,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:05:00","2018-01-01 02:10:00",88
220,"2x2 brick mould","PRODUCTION","2018-01-01 02:05:00","2018-01-01 02:10:00",2967
221,"2x2 brick mould","SCRAP","2018-01-01 02:05:00","2018-01-01 02:10:00",73
222,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:05:00","2018-01-01 02:10:00",91
223,"3x2 brick mould","PRODUCTION","2018-01-01 02:05:00","2018-01-01 02:10:00",2307
224,"3x2 brick mould","SCRAP","2018-01-01 02:05:00","2018-01-01 02:10:00",125
225,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:05:00","2018-01-01 02:10:00",86
226,"4x2 brick mould","PRODUCTION","2018-01-01 02:10:00","2018-01-01 02:15:00",2307
227,"4x2 brick mould","SCRAP","2018-01-01 02:10:00","2018-01-01 02:15:00",74
228,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:10:00","2018-01-01 02:15:00",79
229,"2x2 brick mould","PRODUCTION","2018-01-01 02:10:00","2018-01-01 02:15:00",0
230,"2x2 brick mould","SCRAP","2018-01-01 02:10:00","2018-01-01 02:15:00",0
231,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:10:00","2018-01-01 02:15:00",79
232,"3x2 brick mould","PRODUCTION","2018-01-01 02:10:00","2018-01-01 02:15:00",2224
233,"3x2 brick mould","SCRAP","2018-01-01 02:10:00","2018-01-01 02:15:00",77
234,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:10:00","2018-01-01 02:15:00",77
235,"4x2 brick mould","PRODUCTION","2018-01-01 02:15:00","2018-01-01 02:20:00",2423
236,"4x2 brick mould","SCRAP","2018-01-01 02:15:00","2018-01-01 02:20:00",104
237,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:15:00","2018-01-01 02:20:00",78
238,"2x2 brick mould","PRODUCTION","2018-01-01 02:15:00","2018-01-01 02:20:00",2060
239,"2x2 brick mould","SCRAP","2018-01-01 02:15:00","2018-01-01 02:20:00",132
240,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:15:00","2018-01-01 02:20:00",80
241,"3x2 brick mould","PRODUCTION","2018-01-01 02:15:00","2018-01-01 02:20:00",3068
242,"3x2 brick mould","SCRAP","2018-01-01 02:15:00","2018-01-01 02:20:00",49
243,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:15:00","2018-01-01 02:20:00",77
244,"4x2 brick mould","PRODUCTION","2018-01-01 02:20:00","2018-01-01 02:25:00",2632
245,"4x2 brick mould","SCRAP","2018-01-01 02:20:00","2018-01-01 02:25:00",126
246,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:20:00","2018-01-01 02:25:00",78
247,"2x2 brick mould","PRODUCTION","2018-01-01 02:20:00","2018-01-01 02:25:00",2138
248,"2x2 brick mould","SCRAP","2018-01-01 02:20:00","2018-01-01 02:25:00",85
249,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:20:00","2018-01-01 02:25:00",82
250,"3x2 brick mould","PRODUCTION","2018-01-01 02:20:00","2018-01-01 02:25:00",0
251,"3x2 brick mould","SCRAP","2018-01-01 02:20:00","2018-01-01 02:25:00",0
252,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:20:00","2018-01-01 02:25:00",91
253,"4x2 brick mould","PRODUCTION","2018-01-01 02:25:00","2018-01-01 02:30:00",3076
254,"4x2 brick mould","SCRAP","2018-01-01 02:25:00","2018-01-01 02:30:00",74
255,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:25:00","2018-01-01 02:30:00",77
256,"2x2 brick mould","PRODUCTION","2018-01-01 02:25:00","2018-01-01 02:30:00",0
257,"2x2 brick mould","SCRAP","2018-01-01 02:25:00","2018-01-01 02:30:00",0
258,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:25:00","2018-01-01 02:30:00",78
259,"3x2 brick mould","PRODUCTION","2018-01-01 02:25:00","2018-01-01 02:30:00",2507
260,"3x2 brick mould","SCRAP","2018-01-01 02:25:00","2018-01-01 02:30:00",130
261,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:25:00","2018-01-01 02:30:00",76
262,"4x2 brick mould","PRODUCTION","2018-01-01 02:30:00","2018-01-01 02:35:00",2578
263,"4x2 brick mould","SCRAP","2018-01-01 02:30:00","2018-01-01 02:35:00",65
264,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:30:00","2018-01-01 02:35:00",80
265,"2x2 brick mould","PRODUCTION","2018-01-01 02:30:00","2018-01-01 02:35:00",2187
266,"2x2 brick mould","SCRAP","2018-01-01 02:30:00","2018-01-01 02:35:00",74
267,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:30:00","2018-01-01 02:35:00",77
268,"3x2 brick mould","PRODUCTION","2018-01-01 02:30:00","2018-01-01 02:35:00",0
269,"3x2 brick mould","SCRAP","2018-01-01 02:30:00","2018-01-01 02:35:00",0
270,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:30:00","2018-01-01 02:35:00",78
271,"4x2 brick mould","PRODUCTION","2018-01-01 02:35:00","2018-01-01 02:40:00",2381
272,"4x2 brick mould","SCRAP","2018-01-01 02:35:00","2018-01-01 02:40:00",47
273,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:35:00","2018-01-01 02:40:00",78
274,"2x2 brick mould","PRODUCTION","2018-01-01 02:35:00","2018-01-01 02:40:00",0
275,"2x2 brick mould","SCRAP","2018-01-01 02:35:00","2018-01-01 02:40:00",0
276,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:35:00","2018-01-01 02:40:00",90
277,"3x2 brick mould","PRODUCTION","2018-01-01 02:35:00","2018-01-01 02:40:00",0
278,"3x2 brick mould","SCRAP","2018-01-01 02:35:00","2018-01-01 02:40:00",0
279,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 02:35:00","2018-01-01 02:40:00",99
280,"4x2 brick mould","PRODUCTION","2018-01-01 02:40:00","2018-01-01 02:45:00",0
281,"4x2 brick mould","SCRAP","2018-01-01 02:40:00","2018-01-01 02:45:00",0
282,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 02:40:00","2018-01-01 02:45:00",92
283,"2x2 brick mould","PRODUCTION","2018-01-01 02:40:00","2018-01-01 02:45:00",2343
284,"2x2 brick mould","SCRAP","2018-01-01 02:40:00","2018-01-01 02:45:00",43
285,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 02:40:00","2018-01-01 02:45:00",84
